"Date","Place","PPG","Gallons","Total","Odom","Trip","MPG","prior place","weekday","month","year"
"09/25/11","HEB",3.189,8.887,"$28.34",265,265.5,29.8750984584,"unknown",1,9,2011
"10/10/11","HEB",3.189,10.148,"$32.36",556,290.7,28.6460386283,"HEB",2,10,2011
"10/24/11","Walmart",3.259,10.358,"$33.76",883,327.1,31.5794554933,"HEB",2,10,2011
"11/09/11","HEB",3.269,9.469,"$30.95",1174,290.5,30.6790579787,"Walmart",4,11,2011
"11/22/11","Tetco",3.179,10.664,"$33.90",1522,348.2,32.6519129782,"HEB",3,11,2011
"12/04/11","HEB",3.099,10.606,"$32.87",1854,332.3,31.3313218933,"Tetco",1,12,2011
"12/11/11","HEB",3.059,10.575,"$32.35",2222,367.8,34.780141844,"HEB",1,12,2011
"12/27/11","HEB",3.029,8.456,"$25.61",2460,238.4,28.1929990539,"HEB",3,12,2011
"01/04/12","Shell",3.099,9.272,"$28.73",2763,302.9,32.6682484901,"HEB",4,1,2012
"01/15/12","HEB",3.129,10.584,"$33.12",3112,348.4,32.917611489,"Shell",1,1,2012
"02/07/12","HEB",3.299,9.46,"$31.21",3379,267.4,28.266384778,"HEB",3,2,2012
"02/21/12","HEB",3.459,7.526,"$26.03",3597,217.9,28.9529630614,"HEB",3,2,2012
"03/21/12","HEB",3.639,10.087,"$36.71",3862,265,26.2714384852,"HEB",4,3,2012
"04/20/12","HEB",3.699,7.624,"$28.20",4409,546.6,,"HEB",6,4,2012
"05/06/12","HEB",3.579,9.612,"$34.40",4687,277.7,28.8909696213,"HEB",1,5,2012
"05/21/12","HEB",3.259,10.547,"$34.37",5012,324.8,30.7954868683,"HEB",2,5,2012
"06/18/12","HEB",3.149,10.353,"$32.60",5309,296.9,28.6776779677,"HEB",2,6,2012
"06/21/12",,3.139,9.96,"$31.26",5672,363.5,36.4959839357,"HEB",5,6,2012
"07/02/12","HEB",3.049,9.137,"$27.86",5978,306.2,33.512093685,"unknown",2,7,2012
"07/15/12","HEB",3.069,10.479,"$32.16",6256,277.9,26.5197060788,"HEB",1,7,2012
"08/12/12","HEB",3.389,10.152,"$34.41",6522,265.9,26.1918833727,"HEB",1,8,2012
"08/23/12","HEB",3.449,10.839,"$37.38",6816,294,27.124273457,"HEB",5,8,2012
"09/04/12","Exxon",3.659,10.902,"$39.89",7142,325.8,29.8844248762,"HEB",3,9,2012
"09/04/12","Pilot",3.659,9.597,"$35.12",7508,365.5,38.0848181723,"Exxon",3,9,2012
"09/05/12","delta",3.599,4.488,"$16.15",7666,157.9,35.1827094474,"Pilot",4,9,2012
"09/05/12","Chevron",3.699,6.752,"$24.98",7906,240.4,35.6042654028,"delta",4,9,2012
"09/06/12","Exxon",3.799,7.714,"$29.31",8178,271.4,35.1827845476,"Chevron",5,9,2012
"09/06/12","Kroger",3.489,10.051,"$35.07",8539,361.5,35.9665704905,"Exxon",5,9,2012
"09/15/12","kroger",3.649,9.132,"$33.32",8802,263,28.7998247919,"Kroger",7,9,2012
"09/15/12","sunoco",3.989,10.067,"$40.16",9172,369.8,36.733882984,"kroger",7,9,2012
"09/16/12","sunoco",3.989,3.805,"$15.18",9300,127.7,33.5611038108,"sunoco",1,9,2012
"09/19/12","kroger",3.619,10.436,"$37.77",9658,358.2,34.3234955922,"sunoco",4,9,2012
"09/21/12","Pilot",3.499,5.648,"$19.76",9877,219.1,38.7924929178,"kroger",6,9,2012
"09/23/12","Pilot",3.559,9.109,"$32.42",10212,334.3,36.6999670655,"Pilot",1,9,2012
"09/23/12","Pilot",3.399,5.605,"$19.05",10429,217.4,38.7867975022,"Pilot",1,9,2012
"09/24/12","kroger",3.529,5.798,"$20.46",10633,203.8,35.150051742,"Pilot",2,9,2012
"09/25/12","wawa",3.839,9.779,"$37.54",11020,386.7,39.5439206463,"kangaroo",3,9,2012
"09/27/12","sunoco",3.899,3.472,"$13.54",11146,125.9,36.2615207373,"wawa",5,9,2012
"09/29/12","kroger",3.499,9.299,"$32.54",11498,352,37.8535326379,"sunoco",7,9,2012
"10/24/12","kroger",3.329,9.277,"$30.88",11725,227.4,24.5122345586,"kroger",4,10,2012
"11/09/12","kroger",3.129,7.146,"$22.36",11910,412.3,25.888609012,"kroger",6,11,2012
"11/10/12","wawa",3.399,8.569,"$29.13",12250,340.4,39.7245886334,"kroger",7,11,2012
"11/11/12","Shell",3.199,5.975,"$19.11",12482,232.1,38.8451882845,"wawa",1,11,2012
"11/16/12","kroger",3.129,8.008,"$25.06",12735,252.5,31.530969031,"Shell",6,11,2012
